ticker,date,TotalDebt,WorkingCapital,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow
EL,2020-06-30,8789000000.0,3713000000,1194000000.0,1657000000,1461000000,2280000000
EL,2021-06-30,8099000000.0,4470000000,1702000000.0,2994000000,-1892000000,3631000000
ELY,2018-12-31,49929000.0,221669000,71374000.0,55457000,-75070000,92282000
ELY,2019-12-31,759270000.0,266104000,140455000.0,31848000,492516000,86550000
ELY,2020-12-31,894868000.0,521355000,138482000.0,188976000,96066000,228238000
ELY,2021-12-31,2952698000.0,299728000,105331000.0,-44017000,-124072000,278257000
EOG,2018-12-31,6083262000.0,1329026000,1915215000.0,1692133000,-839103000,7768608000
EOG,2019-12-31,5544808000.0,786351000,2001658000.0,1740654000,-1513321000,8163180000
EOG,2020-12-31,6111494000.0,2402064000,1522256000.0,1543083000,-359025000,5007783000
EOG,2021-12-31,5907000000.0,4542000000,2335000000.0,4941000000,-3493000000,8791000000
EQNR,2018-12-31,25727000000.0,9450000000,6777000000.0,8327000000,-5024000000,19694000000
EQNR,2019-12-31,29032000000.0,5221000000,6483000000.0,3545000000,-5496000000,13749000000
EQNR,2020-12-31,38115000000.0,12365000000,6543000000.0,1910000000,2991000000,10386000000
EQNR,2021-12-31,36239000000.0,23362000000,14002000000.0,20776000000,-4836000000,28816000000
ES,2018-12-31,14631725000.0,-1820658000,994055000.0,-739393000,729937000,1783978000
ES,2019-12-31,15570655000.0,-1191024000,989383000.0,-901912000,1172450000,2009577000
ES,2020-12-31,17968509000.0,-1784869000,1195925000.0,-1260424000,2594590000,1682572000
ES,2021-12-31,20219036000.0,-2576919000,1226069000.0,-1212480000,1440832000,1962600000
ETN,2018-12-31,7521000000.0,2436000000,3858000000.0,2093000000,-2581000000,2658000000
ETN,2019-12-31,8653000000.0,3596000000,3437000000.0,2864000000,-1494000000,3451000000
ETN,2020-12-31,8384000000.0,3297000000,2904000000.0,2555000000,-3258000000,2944000000
ETN,2021-12-31,8916000000.0,299000000,3297000000.0,1588000000,-535000000,2163000000
