ticker,date,date2,ebit_to_interestExpense,ebitda_to_interestExpense,FreeOperCF_to_TotalDebt,FFO_to_TotalDebt,Return_on_Capital,ebitda_to_Revenue,TotalDebt_to_EnterpriseValue,TotalDebt_to_ebitda,ROCE,ROIC,DIO,DPO,DSO,InventoryTurnover,CCC
AGR,2018-12-31,2018,3.3333333333333335,6.184818481848184,0.5750511891636478,0.29799968498976215,0.18584656084656084,0.2893314806237456,1.3996913580246915,3.387940234791889,0.028716840578886012,0.0523936046240619,,,,,
AGR,2019-12-31,2019,3.0903225806451613,6.025806451612903,0.5688334157192289,0.23306969846762235,0.15234601274377294,0.2948232323232323,1.562463796099633,4.331905781584583,0.02522180975699655,0.05205738338630702,23.279527559055122,123.72637795275591,64.05934343434343,15.679012345679013,-36.38750695935735
AGR,2020-12-31,2020,2.6012658227848102,5.718354430379747,0.40717074902378414,0.16098686545970892,0.1128986332574032,0.28591772151898737,1.6042141230068336,6.2357498616491425,0.020101731390002934,0.04252747667787136,24.361826697892273,138.14532916991934,65.52096518987342,14.982456140350877,-48.262537282153644
AIMC,2018-12-31,2018,3.6818181818181817,5.77972027972028,0.11872938482020226,0.09677498673954356,0.059204068231856186,0.14064494171700842,1.1375212608535241,10.333248638838475,0.022527437263333547,0.015549930461160886,,,,,
AIMC,2019-12-31,2019,3.227642276422764,4.967479674796748,0.25820987654320987,0.22648148148148148,0.1550321199143469,0.19988005016084184,1.1563169164882228,4.4189852700491,0.05152052601981226,0.04844310193941789,70.30077262693158,51.21094413312956,50.0519260127583,5.191977077363897,69.14175450656032
AIMC,2020-12-31,2020,3.2233009708737863,4.993065187239944,0.2682245537539174,0.24526502248262705,0.1719928795456472,0.2085747392815759,1.2442146308383488,4.077222222222222,0.050867861754985005,0.0006638764612498196,71.58775824574121,52.63659840521928,51.17612977983778,5.098637098637099,70.1272896203597
AIR,2018-05-31,2018,10.6875,15.75,0.835214446952596,,0.660757453666398,0.07207001086770005,1.4278807413376309,1.4063492063492065,0.04601722282023681,0.023259991019308486,,,,,
AIR,2019-05-31,2019,10.48421052631579,14.989473684210527,1.1277346506704304,,0.9194174757281554,0.06940247587484161,1.3757281553398057,0.9950842696629213,0.053128500560089616,0.01718213058419244,104.3281068524971,37.920150987224154,35.560727166390485,3.49857781389679,101.96868303166343
AIR,2020-05-31,2020,5.795698924731183,10.494623655913978,0.18065285437472053,,0.19909315746084089,0.047104247104247106,2.765457543281121,6.873975409836065,0.02189188091466634,0.00959644105497299,116.8179281089529,38.64729850413038,27.60400579150579,3.124520404604116,105.7746353963283
AIR,2021-05-31,2021,9.04,16.3,0.4793388429752066,,0.20689655172413793,0.04932518307813351,1.4835249042145593,2.3754601226993866,0.024087396749267253,0.030736301369863012,150.03549982338396,41.10279053338043,27.016582944985778,2.4327575835696487,135.9492922349893
ALB,2018-12-31,2018,14.305524282034156,18.13527335177941,0.9678397382140617,,1.344423970713427,0.2815979495992533,3.7902062462908344,1.7942420865780915,0.08553269669168212,0.15842606347075558,,,,,
ALB,2019-12-31,2019,13.413517194416071,17.451727007906783,0.5565729216330833,0.29263977064565505,0.36035710845219343,0.2570335042334055,1.8501207655175855,3.455527458722766,0.06292172776961984,0.09626407764808653,115.05534012112663,85.86174772592622,61.94616787024781,3.172386432613554,91.13976026544822
ALB,2020-12-31,2020,6.746047376771158,9.91886864708135,0.42715657541714525,0.1966014633936082,0.20979842438069593,0.23178302724687744,1.7636183784641775,5.086432128930488,0.04025563147020741,0.06756046524779911,130.04247191443378,90.50794983809055,66.69632849661016,2.8067753144539207,106.23085057295339
ALB,2021-12-31,2021,9.675385516299043,13.807079185373153,0.7149156207510919,0.33666185950065763,0.5010719695257543,0.2550525742970838,2.2345499456260187,2.9703394423211953,0.046293822299073674,0.037012818507870006,122.9911077281777,89.0047525615589,59.65107121275906,2.9676942239327206,93.63742637937786
ALC,2018-12-31,2018,5.041666666666667,73.29166666666667,0.6402131239484016,,0.06891651865008881,0.24591080665455053,1.266785079928952,2.0272882319499717,0.004178898290450699,,,,,,
ALC,2019-12-31,2019,0.8407079646017699,13.380530973451327,0.5428496319663512,0.39747634069400634,-0.09427748044462742,0.20138518913159298,1.566076574722108,2.515873015873016,0.003171423802370222,,139.52816718587746,70.87746625129803,70.4428609483218,2.6159592529711375,139.0935618829012
ALC,2020-12-31,2020,-2.1451612903225805,10.879032258064516,0.40658362989323843,0.3013790035587189,-0.06585365853658537,0.19742426459827309,1.8276422764227642,3.3328391401037805,-0.008908835153057806,,152.15581149060102,82.57678051363517,79.59168739938534,2.3988567799301364,149.1707183763512
ALKS,2018-12-31,2018,-6.421454945909179,0.29358035887802036,0.26480802554885646,0.018041015652970914,1.9596027072163136,0.004141558695536949,-4.910046585215786,61.63018534863195,-0.045791237081256715,,,,,,
ALKS,2019-12-31,2019,-11.916623777663407,-6.004337916329682,0.03188564200917009,-0.2775944677019103,42.910007963897,-0.06974269544223607,-77.23546588797451,-3.562676789322231,-0.07378870620050398,,194.2501732405688,95.13047093716217,85.61351837444394,1.8790202032302252,184.73322067785057
ALKS,2020-12-31,2020,-12.983831851253031,-3.530777226007622,0.02839400522239045,-0.07297205704157189,-1.3345441527948871,-0.029432320968543143,4.318487633848195,-13.415660877244628,-0.0470802198336005,,232.88001357141258,102.64831815428789,93.50780404637855,1.5673307228147895,223.73949946350325
AMAT,2018-10-28,2018,19.213675213675213,21.166666666666668,1.0501035976643436,,2.516439454691259,0.2964980544747082,4.257417802726544,1.0718756309307491,0.2085826954302946,0.29973671219351655,,,,,
AMAT,2019-10-27,2019,14.227848101265822,15.759493670886076,0.7859966120835686,,1.6115892139988526,0.2556818181818182,3.0481927710843375,1.4224899598393574,0.14366665246474372,0.2570414726103349,159.70414740938944,43.37205059596205,63.6901013143483,2.285476025017373,180.0221981277757
AMAT,2020-10-25,2020,18.616666666666667,20.183333333333334,0.9227264762572279,,-59.40909090909091,0.2815951633530985,-86.46969696969697,1.1781585466556566,0.16664180217812918,0.27055572612833895,141.92948244966797,40.05112258880573,58.3083362399721,2.5716996476009757,160.18669610083435
AMAT,2021-10-31,2021,30.75,32.41949152542373,1.4460281592212758,,70.82222222222222,0.33174348523609243,63.922222222222224,0.7519278525682918,0.22558985358575026,0.37366666666666665,123.4961275438741,39.035181675867186,62.640159562936304,2.955558261293072,147.10110543094322
