ticker,date,TotalDebt,WorkingCapital,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow,SaleOfPPE
OCDX,2020-12-31,3733600000.0,230800000.0,318700000.0,2000000.0,55800000.0,46100000.0,
OCDX,2021-12-31,2263500000.0,433200000.0,257200000.0,228200000.0,-74700000.0,286600000.0,
OGE,2018-12-31,3146900000.0,-312100000.0,174700000.0,377500000.0,-295200000.0,951100000.0,
OGE,2019-12-31,3307200000.0,-227700000.0,153800000.0,46000000.0,-151100000.0,681500000.0,
OGE,2020-12-31,3589400000.0,-268900000.0,157800000.0,62300000.0,-56800000.0,712800000.0,
OGE,2021-12-31,4983300000.0,-476000000.0,162300000.0,-1091800000.0,1061300000.0,-313300000.0,
OGN,2018-12-31,,,,3586000000.0,-4164000000.0,3687000000.0,32000000.0
OGN,2019-12-31,104000000.0,2614000000.0,1474000000.0,2675000000.0,-2621000000.0,2767000000.0,4000000.0
OGN,2020-12-31,,2233000000.0,1092000000.0,1909000000.0,-2175000000.0,2187000000.0,20000000.0
OGN,2021-12-31,9134000000.0,1163000000.0,1382000000.0,1970000000.0,-1333000000.0,2458000000.0,7000000.0
OGS,2018-12-31,1584983000.0,-155604000.0,295421000.0,73244000.0,-66334000.0,467694000.0,
OGS,2019-12-31,1802564000.0,-366535000.0,260012000.0,-106977000.0,109117000.0,310345000.0,
OGS,2020-12-31,2000653000.0,-257210000.0,292985000.0,-106845000.0,96012000.0,364500000.0,
OGS,2021-12-31,4177378000.0,1244071000.0,341756000.0,-2030903000.0,2037599000.0,-1535657000.0,
OSK,2018-09-30,818000000.0,1579800000.0,1521600000.0,336200000.0,-338900000.0,436300000.0,11500000.0
OSK,2019-09-30,819000000.0,1666400000.0,1082300000.0,394100000.0,-421600000.0,568300000.0,15100000.0
OSK,2020-09-30,823100000.0,1950700000.0,857600000.0,197100000.0,-115500000.0,327300000.0,41200000.0
OSK,2021-09-30,818800000.0,2266200000.0,1017300000.0,1106800000.0,-180400000.0,1221600000.0,17500000.0
OTIS,2018-12-31,27000000.0,309000000.0,2605000000.0,1378000000.0,-1497000000.0,1550000000.0,
OTIS,2019-12-31,560000000.0,284000000.0,2723000000.0,1324000000.0,-1133000000.0,1469000000.0,
OTIS,2020-12-31,6497000000.0,-180000000.0,3309000000.0,1297000000.0,-844000000.0,1480000000.0,
OTIS,2021-12-31,7790000000.0,2014000000.0,3117000000.0,1594000000.0,58000000.0,1750000000.0,
PAMP.BA,2018-12-31,57922016.74002875,8999821.214752922,14031395.11380451,-1748456.0541088004,-12498850.097854419,16182743.987483976,61386.471633368
PAMP.BA,2019-12-31,32581700.0,8483600.0,8350000.0,3674000.0,-6513000.0,13393400.0,
PAMP.BA,2020-12-31,19230400.0,11281200.0,2939300.0,6771100.000000001,-5295500.0,8246700.000000001,
