,ticker,date,exchange_rate
657,HY,2020-12-31,1.0
658,HZNP,2018-12-31,1.0
659,HZNP,2019-12-31,1.0
660,HZNP,2020-12-31,1.0
661,HZNP,2021-12-31,1.0
662,ICL,2017-12-31,1.0
663,ICL,2018-12-31,1.0
664,ICL,2019-12-31,1.0
665,ICL,2020-12-31,1.0
666,ICUI,2017-12-31,1.0
667,ICUI,2018-12-31,1.0
668,ICUI,2019-12-31,1.0
669,ICUI,2020-12-31,1.0
670,IEP,2017-12-31,1.0
671,IEP,2018-12-31,1.0
672,IEP,2019-12-31,1.0
673,IEP,2020-12-31,1.0
674,IEX,2017-12-31,1.0
675,IEX,2018-12-31,1.0
676,IEX,2019-12-31,1.0
677,IEX,2020-12-31,1.0
678,IFF,2018-12-31,1.0
679,IFF,2019-12-31,1.0
680,IFF,2020-12-31,1.0
681,IFF,2021-12-31,1.0
682,IIVI,2018-06-30,1.0
683,IIVI,2019-06-30,1.0
684,IIVI,2020-06-30,1.0
685,IIVI,2021-06-30,1.0
686,ILMN,2017-12-31,1.0
687,ILMN,2018-12-30,1.0
688,ILMN,2019-12-29,1.0
689,ILMN,2021-01-03,1.0
690,IMG.TO,2017-12-31,0.7974599374958442
691,IMG.TO,2018-12-31,0.7337391861582826
692,IMG.TO,2019-12-31,0.7695574736265242
693,IMG.TO,2020-12-31,0.7849421096398644
694,IMKTA,2018-09-29,1.0
695,IMKTA,2019-09-28,1.0
696,IMKTA,2020-09-26,1.0
697,IMKTA,2021-09-25,1.0
698,IMO,2017-12-31,1.0
699,IMO,2018-12-31,1.0
700,IMO,2019-12-31,1.0
701,IMO,2020-12-31,1.0
702,INGR,2017-12-31,1.0
703,INGR,2018-12-31,1.0
704,INGR,2019-12-31,1.0
705,INGR,2020-12-31,1.0
706,INTC,2018-12-29,1.0
707,INTC,2019-12-28,1.0
708,INTC,2020-12-26,1.0
709,INTC,2021-12-25,1.0
710,IR,2017-12-31,1.0
711,IR,2018-12-31,1.0
712,IR,2019-12-31,1.0
713,IR,2020-12-31,1.0
714,ITGR,2018-12-28,1.0
715,ITGR,2019-12-31,1.0
716,ITGR,2020-12-31,1.0
717,ITGR,2021-12-31,1.0
718,ITT,2018-12-31,1.0
719,ITT,2019-12-31,1.0
720,ITT,2020-12-31,1.0
721,ITT,2021-12-31,1.0
722,JCI,2018-09-30,1.0
