ticker,date,TotalDebt,WorkingCapital,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow,SaleOfPPE
ATKR,2021-09-30,800407000.0,896516000.0,524926000.0,508428000.0,-184456000.0,572902000.0,81000.0
ATO,2018-09-30,3644445000.0,-1436278000.0,138794000.0,-342929000.0,326266000.0,1124662000.0,
ATO,2019-09-30,3994367000.0,-751409000.0,126984000.0,-724708000.0,725670000.0,968769000.0,
ATO,2020-09-30,4768731000.0,-311143000.0,140259000.0,-897677000.0,883777000.0,1037999000.0,
ATO,2021-09-30,7563090000.0,-671640000.0,218219000.0,-3053791000.0,3143821000.0,-1084251000.0,
AU,2018-12-31,2050000000.0,434000000.0,33000000.0,205000000.0,-393000000.0,857000000.0,
AU,2019-12-31,2204000000.0,545000000.0,47000000.0,344000000.0,-177000000.0,1047000000.0,3000000.0
AU,2020-12-31,2084000000.0,1375000000.0,56000000.0,952000000.0,-329000000.0,1654000000.0,3000000.0
AU,2021-12-31,2094000000.0,1345000000.0,50000000.0,240000000.0,-456000000.0,1268000000.0,25000000.0
AVT,2018-06-30,1654599000.0,4641138000.0,3641139000.0,97612000.0,-541893000.0,253485000.0,
AVT,2019-06-30,1720460000.0,4297760000.0,3168369000.0,412080000.0,-582676000.0,534770000.0,
AVT,2020-06-30,1731874000.0,4048440000.0,2928386000.0,656666000.0,-644550000.0,730182000.0,
AVT,2021-06-30,1512591000.0,4108183000.0,3576130000.0,40586000.0,-314013000.0,90949000.0,
AYI,2018-08-31,356800000.0,528400000.0,637900000.0,309600000.0,-326700000.0,353200000.0,0.0
AYI,2019-08-31,356600000.0,845700000.0,561000000.0,441700000.0,-108200000.0,494700000.0,0.0
AYI,2020-08-31,475100000.0,822100000.0,500300000.0,449900000.0,-50300000.0,504800000.0,200000.0
AYI,2021-08-31,556900000.0,852100000.0,571800000.0,364900000.0,-362600000.0,408700000.0,4700000.0
AZO,2018-08-31,5058220000.0,-392812000.0,258136000.0,1558045000.0,-1632154000.0,2080292000.0,
AZO,2019-08-31,5262590000.0,-483456000.0,308995000.0,1632463000.0,-1674088000.0,2128513000.0,
AZO,2020-08-31,8306275000.0,528781000.0,364774000.0,2262372000.0,-643636000.0,2720108000.0,
AZO,2021-08-31,8229162000.0,-954451000.0,378392000.0,2896776000.0,-3500417000.0,3518543000.0,
BA,2018-12-31,13847000000.0,6240000000.0,3936000000.0,13531000000.0,-11722000000.0,15322000000.0,120000000.0
BA,2019-12-31,27302000000.0,4917000000.0,3337000000.0,-4407000000.0,5739000000.0,-2446000000.0,334000000.0
BA,2020-12-31,63851000000.0,34362000000.0,2385000000.0,-19713000000.0,34955000000.0,-18410000000.0,296000000.0
BA,2021-12-31,58370000000.0,26674000000.0,3026000000.0,-4396000000.0,-5600000000.0,-3416000000.0,529000000.0
BABA,2019-03-31,134300000000.0,62604000000.0,13771000000.0,101332000000.0,-7392000000.0,150975000000.0,
BABA,2020-03-31,147287000000.0,221051000000.0,19786000000.0,135221000000.0,70853000000.0,180607000000.0,
BABA,2021-03-31,181439000000.0,266002000000.0,27076000000.0,188601000000.0,30082000000.0,231786000000.0,
BAK,2018-12-31,37881087000.0,-1732263000.0,3075218000.0,6544042000.0,-4603400000.0,9250370000.0,95133000.0
BAK,2019-12-31,44346052000.0,7173394000.0,2285750000.0,-417247000.0,1636768000.0,2265275000.0,12590000.0
BAK,2020-12-31,60457855000.0,5803070000.0,4731979000.0,3533202000.0,2173222000.0,6292991000.0,33140000.0
BAK,2021-12-31,54208665000.0,14099922000.0,7153565000.0,11365161000.0,-16965504000.0,14786485000.0,40353000.0
BATS.L,2018-12-31,47509000000.0,-3674000000.0,3588000000.0,9352000000.0,-9630000000.0,10295000000.0,38000000.0
BATS.L,2019-12-31,45366000000.0,-5549000000.0,4093000000.0,8181000000.0,-8593000000.0,8996000000.0,34000000.0
BATS.L,2020-12-31,43968000000.0,-1866000000.0,3721000000.0,9031000000.0,-7897000000.0,9786000000.0,44000000.0
